"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"US1DESS0044","LEWES 3.9 SW, DE US","2020-03-29",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-03-30",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-03-31",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-01",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-02",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-03",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-04",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-05",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-06",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-07",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-08",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-09",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-10",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-11",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-12",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-13",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-14",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-15",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-16",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-17",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-18",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-19",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-20",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-21",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-22",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-23",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-24",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-25",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-26",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-27",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-28",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-29",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-04-30",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-01",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-02",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-03",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-04",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-05",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-06",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-07",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-08",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-09",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-10",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-11",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-12",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-13",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-14",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-15",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-16",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-17",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-18",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-19",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-20",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-21",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-22",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-23",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-24",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-25",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-26",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-27",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-28",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-29",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-30",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-05-31",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-01",,,
"US1DESS0044","LEWES 3.9 SW, DE US","2020-06-02",,,
